Date,Open,High,Low,Close,Adj Close,Volume
1/19/2010,83.82,85.169998,83.5,85.120003,58.909462,4500400
1/20/2010,84.830002,85.129997,83.589996,84.720001,58.632645,3671200
1/21/2010,84.599998,84.599998,82.57,82.699997,57.234638,4783200
1/22/2010,82.400002,82.830002,81.300003,81.480003,56.390324,4809000
1/25/2010,82.330002,82.889999,81.480003,81.830002,56.632545,3386600
1/26/2010,81.459999,82.730003,81.040001,81.629997,56.494137,3138000
1/27/2010,81.330002,82.839996,81.010002,82.300003,56.957821,5066900
1/28/2010,82.620003,82.639999,79.110001,80.75,55.885098,6820700
1/29/2010,81.349998,81.879997,80.18,80.489998,55.705151,4347000
2/1/2010,80.839996,80.889999,79.940002,80.440002,55.670555,3632700
2/2/2010,80.699997,80.940002,79.699997,80.43,55.663647,4690000
2/3/2010,79.830002,81.68,79.830002,81.5,56.404144,3401300
2/4/2010,81.129997,81.129997,78.830002,79.209999,54.819309,5312600
2/5/2010,79.160004,79.5,77.260002,78.540001,54.35561,5408000
2/8/2010,78.480003,78.480003,77.25,77.529999,53.65662,4407300
2/9/2010,78.279999,79.410004,77.900002,78.720001,54.48019,4252500
2/10/2010,78.800003,79.290001,78,78.620003,54.410965,2445200
2/11/2010,79.220001,80.389999,78.839996,80.269997,55.552891,5524500
2/12/2010,79.139999,79.230003,78.07,79.18,54.798546,5443000
2/16/2010,80.080002,80.639999,79.339996,80.470001,55.691319,3619100
2/17/2010,80.419998,80.690002,79.739998,80.139999,55.827145,3095200
2/18/2010,80.059998,81.18,80.059998,81.110001,56.502869,2702400
2/19/2010,81.139999,81.739998,80.610001,81.519997,56.788498,3217900
2/22/2010,81.709999,81.760002,80.550003,80.68,56.203331,3025400
2/23/2010,80.410004,81.089996,79.669998,79.709999,55.527596,3981900
2/24/2010,80,80.599998,79.5,80.07,55.778397,3530700
2/25/2010,79.160004,79.769997,78.639999,79.739998,55.548489,4106300
2/26/2010,79.739998,80.330002,79.099998,80.150002,55.834129,3224400
3/1/2010,80.57,80.949997,80.349998,80.580002,56.133678,2545100
3/2/2010,80.739998,81.379997,80.580002,81.129997,56.516819,3365600
3/3/2010,81.160004,81.68,80.860001,81,56.426266,2852300
3/4/2010,81.209999,81.360001,80.57,81.019997,56.440189,2620300
3/5/2010,81.349998,82.5,81.230003,82.440002,57.429348,3142600
3/8/2010,82.419998,82.529999,81.230003,81.309998,56.642197,3627900
3/9/2010,81.150002,82.129997,80.739998,81.989998,57.115902,4249800
3/10/2010,81.919998,82.059998,81.25,81.559998,56.816357,3584600
3/11/2010,81.260002,81.540001,80.510002,81.260002,56.607368,4048100
3/12/2010,81.57,81.669998,80.919998,81.379997,56.690968,2945900
3/15/2010,81.160004,81.660004,80.779999,81.260002,56.607368,2622300
