"3M Quarterly Total Assets
(Millions of US $)",
2022-09-30,"$46,176"
2022-06-30,"$45,634"
2022-03-31,"$45,855"
2021-12-31,"$47,072"
2021-09-30,"$48,278"
2021-06-30,"$48,307"
2021-03-31,"$47,180"
2020-12-31,"$47,344"
2020-09-30,"$45,390"
2020-06-30,"$45,079"
2020-03-31,"$46,212"
2019-12-31,"$44,659"
2019-09-30,"$42,550"
2019-06-30,"$38,969"
2019-03-31,"$39,140"
2018-12-31,"$36,500"
2018-09-30,"$37,275"
2018-06-30,"$36,778"
2018-03-31,"$38,575"
2017-12-31,"$37,987"
2017-09-30,"$35,237"
2017-06-30,"$33,957"
2017-03-31,"$33,292"
2016-12-31,"$32,906"
2016-09-30,"$34,051"
2016-06-30,"$33,235"
2016-03-31,"$32,982"
2015-12-31,"$32,883"
2015-09-30,"$33,258"
2015-06-30,"$31,388"
2015-03-31,"$30,643"
2014-12-31,"$31,209"
2014-09-30,"$32,776"
2014-06-30,"$33,970"
2014-03-31,"$33,547"
2013-12-31,"$33,550"
2013-09-30,"$33,604"
2013-06-30,"$34,130"
2013-03-31,"$34,029"
2012-12-31,"$33,876"
2012-09-30,"$34,479"
2012-06-30,"$33,339"
2012-03-31,"$32,015"
2011-12-31,"$31,616"
2011-09-30,"$32,115"
2011-06-30,"$32,282"
2011-03-31,"$31,129"
2010-12-31,"$30,156"
2010-09-30,"$30,065"
2010-06-30,"$28,496"
2010-03-31,"$28,022"
2009-12-31,"$27,250"
2009-09-30,"$27,633"
2009-06-30,"$26,095"
2009-03-31,"$24,338"
