"3M Quarterly Revenue
(Millions of US $)",
2022-09-30,"$8,619"
2022-06-30,"$8,702"
2022-03-31,"$8,829"
2021-12-31,"$8,612"
2021-09-30,"$8,942"
2021-06-30,"$8,950"
2021-03-31,"$8,851"
2020-12-31,"$8,583"
2020-09-30,"$8,350"
2020-06-30,"$7,176"
2020-03-31,"$8,075"
2019-12-31,"$8,111"
2019-09-30,"$7,991"
2019-06-30,"$8,171"
2019-03-31,"$7,863"
2018-12-31,"$7,945"
2018-09-30,"$8,152"
2018-06-30,"$8,390"
2018-03-31,"$8,278"
2017-12-31,"$7,990"
2017-09-30,"$8,172"
2017-06-30,"$7,810"
2017-03-31,"$7,685"
2016-12-31,"$7,329"
2016-09-30,"$7,709"
2016-06-30,"$7,662"
2016-03-31,"$7,409"
2015-12-31,"$7,298"
2015-09-30,"$7,712"
2015-06-30,"$7,686"
2015-03-31,"$7,578"
2014-12-31,"$7,719"
2014-09-30,"$8,137"
2014-06-30,"$8,134"
2014-03-31,"$7,831"
2013-12-31,"$7,569"
2013-09-30,"$7,916"
2013-06-30,"$7,752"
2013-03-31,"$7,634"
2012-12-31,"$7,387"
2012-09-30,"$7,497"
2012-06-30,"$7,534"
2012-03-31,"$7,486"
2011-12-31,"$7,089"
2011-09-30,"$7,531"
2011-06-30,"$7,680"
2011-03-31,"$7,311"
2010-12-31,"$6,709"
2010-09-30,"$6,874"
2010-06-30,"$6,731"
2010-03-31,"$6,348"
2009-12-31,"$6,122"
2009-09-30,"$6,193"
2009-06-30,"$5,719"
2009-03-31,"$5,089"
