quarter,assets_millions,current_ratio,revenue_millions,us_gdp,cpi,spx_close,stock_price_close,net_income,cost_of_sales,r_d
2010 Q1,28022,2.35,6348,14980.193,95.539,1169.43,58.216545000000004,930,3238,342
2010 Q2,28496,2.37,6731,15141.605,95.723,1030.71,55.37204,1121,3435,350
2010 Q3,30065,2.6,6874,15309.471,96.336,1141.2,61.165634,1106,3583,354
2010 Q4,30156,2.01,6709,15351.444,97.145,1257.64,61.258202,928,3575,388
2011 Q1,31129,2.14,7311,15557.535,98.1,1325.83,66.768097,1081,3802,398
2011 Q2,32282,2.18,7680,15647.681,98.554,1320.64,68.131378,1160,4040,404
2011 Q3,32115,2.22,7531,15842.267,98.879,1131.42,51.914894,1088,4027,389
2011 Q4,31616,2.25,7089,16068.824,99.534,1257.6,59.520607,954,3824,379
2012 Q1,32015,2.38,7486,16207.13,99.775,1408.47,65.406548,1125,3889,411
2012 Q2,33339,2.47,7534,16319.54,100.065,1362.16,66.147453,1167,3870,408
2012 Q3,34479,2.2,7497,16420.386,100.626,1440.67,68.663979,1161,3935,397
2012 Q4,33876,2.2,7387,16629.05,100.989,1426.19,69.440842,991,3991,418
2013 Q1,34029,2.33,7634,16699.551,101.061,1569.19,79.998329,1129,3969,430
2013 Q2,34130,2.21,7752,16911.068,101.471,1606.28,82.755074,1197,4013,427
2013 Q3,33604,1.79,7916,17133.114,101.896,1681.55,90.868324,1230,4148,420
2013 Q4,33550,1.7,7569,17144.281,102.386,1848.36,107.250778,1103,3976,438
2014 Q1,33547,1.71,7831,17462.703,102.899,1872.34,104.422363,1207,4031,452
2014 Q2,33970,1.87,8134,17743.227,103.19,1960.23,110.93335,1267,4184,448
2014 Q3,32776,1.65,8137,17852.54,103.071,1972.29,110.379433,1303,4205,434
2014 Q4,31209,2.06,7719,17991.348,102.643,2058.9,128.704849,1179,4027,436
2015 Q1,30643,2.46,7578,18193.707,103.141,2067.89,130.001892,1199,3821,463
2015 Q2,31388,2.64,7686,18306.96,103.39,2063.11,122.377296,1300,3858,438
2015 Q3,33258,1.65,7712,18332.079,103.288,1920.03,113.222092,1296,3877,429
2015 Q4,32883,1.54,7298,18425.306,103.343,2043.94,121.096428,1038,3827,433
2016 Q1,32982,1.52,7409,18611.617,103.992,2059.74,134.918259,1275,3678,450
2016 Q2,33235,1.58,7662,18775.459,104.382,2098.86,142.736649,1291,3799,437
2016 Q3,34051,1.9,7709,18968.041,104.876,2168.27,144.536423,1329,3847,427
2016 Q4,32906,1.89,7329,19148.194,105.497,2238.83,147.394577,1155,3716,421
2017 Q1,33292,1.99,7685,19304.506,105.758,2362.72,158.955368,1323,3869,471
2017 Q2,33957,2.22,7810,19561.896,106.142,2423.41,173.995529,1583,4007,473
2017 Q3,35237,2.07,8172,19894.75,106.818,2519.36,176.433655,1429,4045,463
2017 Q4,37987,1.86,7990,20155.486,107.588,2673.61,198.840805,523,4080,443
2018 Q1,38575,1.65,8278,20470.197,108.166,2640.87,186.54425,602,4236,486
2018 Q2,36778,1.56,8390,20687.278,108.552,2718.37,168.312531,1857,4227,468
2018 Q3,37275,1.97,8152,20819.269,108.961,2913.98,181.490692,1543,4159,430
2018 Q4,36500,1.89,7945,21013.085,109.188,2506.85,165.238464,1347,4060,437
2019 Q1,39140,2.02,7863,21272.448,109.857,2834.4,181.434982,891,4310,477
2019 Q2,38969,1.93,8171,21531.839,110.144,2941.76,152.656784,1127,4313,470
2019 Q3,42550,2.3,7991,21706.532,110.543,2976.74,146.108368,1583,4188,443
2019 Q4,44659,1.41,8111,21538.032,110.946,3230.78,158.148392,969,4325,521
2020 Q1,46212,1.65,8075,19636.731,110.445,2584.59,123.47996500000001,1292,4109,537
2020 Q2,45079,1.94,7176,21362.428,111.366,3100.29,142.500076,1290,3805,424
2020 Q3,45390,1.9,8350,21704.706,111.821,3363,147.659607,1413,4303,461
2020 Q4,47344,1.89,8583,22313.85,113.059,3756.07,162.5215,1389,4388,456
2021 Q1,47180,1.84,8851,23046.934,114.838,3972.89,180.632141,1624,4525,524
2021 Q2,48307,1.73,8950,23550.42,116.413,4297.5,187.580383,1524,4719,514
2021 Q3,48278,1.71,8942,24349.121,118.173,4307.54,166.926117,1434,4853,482
2021 Q4,47072,1.71,8612,24740.48,120.323,4766.18,170.404694,1339,4698,474
2022 Q1,45855,1.58,8829,25248.476,122.459,4530.41,144.204773,1299,4826,480
2022 Q2,45634,1.47,8702,25663.289,123.719,3785.38,126.612885,78,5093,476
